tag_id,tag_print,tag,games_with_this_tag,votes_for_this_tag,tag_weight,price_median,undersore_median,owners_median,playtime_median
75,Hack and Slash,hack_and_slash,200,"21,608",108,$9.99 ,79%,"4,520,000",4:25
90,Walking Simulator,walking_simulator,157,"16,984",108,$9.99 ,75%,"3,160,000",3:13
269,Fishing,fishing,19,"2,049",108,$8.49 ,72.50%,"6,330,000",6:24
61,Replay Value,replay_value,244,"26,125",107,$9.99 ,86%,"4,520,000",4:24
191,Cartoon,cartoon,42,"4,480",107,$0.99 ,92%,"4,290,000",3:20
4,Singleplayer,singleplayer,2553,"268,836",105,$9.99 ,83%,"3,160,000",3:19
158,Dystopian,dystopian,63,"6,595",105,$9.99 ,88%,"5,880,000",3:02
64,RTS,rts,220,"22,840",104,$9.99 ,82%,"3,620,000",4:09
246,Agriculture,agriculture,24,"2,491",104,$9.99 ,73%,"900,000",4:31
121,Dating Sim,dating_sim,103,"10,542",102,$9.99 ,89%,"2,260,000",3:34
52,Racing,racing,308,"31,322",102,$4.99 ,77%,"1,360,000",2:58
147,Resource Management,resource_management,75,"7,531",100,$14.99 ,78%,"3,620,000",4:15
252,Supernatural,supernatural,23,"2,293",100,$9.99 ,88%,"4,970,000",2:16
139,Steampunk,steampunk,80,"8,026",100,$7.99 ,82%,"4,070,000",3:40
10,Great Soundtrack,great_soundtrack,1279,"126,470",99,$9.99 ,87%,"3,620,000",3:38
113,Cyberpunk,cyberpunk,117,"11,570",99,$9.99 ,83%,"2,940,000",2:33
243,Satire,satire,24,"2,376",99,$9.99 ,87%,"4,520,000",3:12
155,4X,4x,65,"6,398",98,$19.99 ,82%,"5,420,000",5:01
332,Investigation,investigation,3,294,98,$14.99 ,73%,"8,360,000",13:55
255,Mythology,mythology,23,"2,236",97,$9.99 ,86%,"4,070,000",3:13
67,Turn-Based Strategy,turn_based_strategy,216,"20,679",96,$9.99 ,80%,"2,710,000",3:49
318,Basketball,basketball,6,567,95,$4.99 ,72%,"4,750,000",1:47
27,Fantasy,fantasy,628,"58,611",93,$9.99 ,82%,"3,160,000",3:52
237,Character Action Game,character_action_game,27,"2,492",92,$14.99 ,83.50%,"5,200,000",5:30
210,Alternate History,alternate_history,34,"3,084",91,$14.99 ,83%,"4,970,000",4:06
6,Strategy,strategy,1854,"169,201",91,$6.99 ,77%,"2,710,000",3:02
181,Pirates,pirates,46,"4,083",89,$8.49 ,82%,"2,260,000",1:31
3,Adventure,adventure,3356,"295,703",88,$5.99 ,79%,"2,710,000",3:01
208,Comic Book,comic_book,35,"3,041",87,$14.99 ,86%,"3,160,000",5:14
7,Simulation,simulation,1649,"142,664",87,$7.99 ,75%,"2,260,000",3:07
257,World War I,world_war_i,22,"1,888",86,$8.49 ,69.50%,"2,030,000",1:26
206,Rhythm,rhythm,36,"3,086",86,$7.99 ,83%,"2,940,000",4:01
95,JRPG,jrpg,149,"12,670",85,$14.99 ,84%,"2,260,000",4:24
311,Benchmark,benchmark,8,670,84,$19.99 ,83%,"6,330,000",3:23
18,Difficult,difficult,753,"63,263",84,$8.99 ,85%,"3,160,000",3:20
218,Political,political,32,"2,686",84,$8.99 ,85%,"1,810,000",4:14
33,Gore,gore,559,"47,178",84,$7.99 ,80%,"4,520,000",3:42
53,Psychological Horror,psychological_horror,302,"25,301",84,$5.79 ,82%,"2,260,000",2:37
156,Real-Time with Pause,real_time_with_pause,64,"5,291",83,$12.99 ,84%,"2,940,000",3:40
153,Remake,remake,68,"5,594",82,$14.99 ,85%,"4,070,000",3:53
125,Economy,economy,99,"8,143",82,$13.49 ,76%,"2,260,000",4:14
178,Blood,blood,48,"3,915",82,$9.99 ,83.50%,"6,330,000",3:32
142,Illuminati,illuminati,78,"6,396",82,$5.49 ,81%,"2,490,000",2:56
230,Trains,trains,29,"2,343",81,$14.99 ,81%,"900,000",4:33
203,Linear,linear,39,"3,123",80,$9.99 ,83.50%,"8,590,000",4:04
65,Fast-Paced,fast_paced,218,"17,439",80,$5.99 ,86%,"3,160,000",2:21
40,Nudity,nudity,409,"32,264",79,$4.99 ,82%,"2,260,000",3:27
227,Games Workshop,games_workshop,29,"2,249",78,$12.99 ,87%,"7,230,000",4:30
39,Classic,classic,438,"34,332",78,$9.99 ,88%,"3,160,000",1:44
134,Romance,romance,85,"6,609",78,$9.99 ,89.50%,"2,260,000",3:09
305,Conspiracy,conspiracy,10,784,78,$6.99 ,77%,"5,420,000",3:00
212,Western,western,33,"2,557",77,$9.99 ,83.50%,"1,130,000",1:48
74,Management,management,202,"15,256",76,$10.49 ,76%,"2,710,000",4:38
324,Documentary,documentary,5,380,76,$0 ,92%,"2,710,000",0:00
46,Turn-Based,turn_based,359,"26,904",75,$9.99 ,82%,"2,260,000",3:26
120,Perma Death,perma_death,106,"7,902",75,$9.99 ,85%,"2,260,000",3:11
174,Cult Classic,cult_classic,51,"3,831",75,$9.99 ,89%,"2,710,000",2:42
296,Offroad,offroad,12,893,74,$14.99 ,69%,"4,970,000",5:31
197,1980s,1980s,41,"3,032",74,$9.49 ,82.50%,"900,000",2:36
263,Silent Protagonist,silent_protagonist,21,"1,562",74,$7.99 ,90%,"14,460,000",4:13
